Age,Gender,Location,Parental Occupation,Study Hours,Previously Written JAMB,WAEC English Score,WAEC Maths Score,Internet Access,Understanding of Subjects,Confidence in JAMB Success,CBT Experience,Feelings about CBT,Learning Materials Availability,Educational Technology Usage,Support for Exam Preparation,Suggestions for School Improvement,Adequate JAMB Preparation,Result
17,Female,Epe (Public),Civil servant,1-3 hours,No,100,66,Yes,Average,Confident,Yes,Neutral,Excellent,Always,More past questions,More practical lessons,No,Pass
20,Male,Epe (Public),Artisan,1-3 hours,Yes,60,84,No,Good,Very confident,No,Uncomfortable,Excellent,Always,"Counseling, Tutors",More practical lessons,No,Fail
20,Female,Epe (Public),Artisan,More than 5 hours,Yes,83,88,No,Average,Not confident,No,Neutral,Fair,Always,Better textbooks,More practical lessons,Yes,Fail
17,Male,Others,Civil servant,3-5 hours,No,99,78,No,Excellent,Confident,No,Uncomfortable,Excellent,Never,"More past questions, Tutors, Counseling",Improved facilities,Yes,Fail
16,Male,Ikorodu (Public),Teacher,3-5 hours,Yes,56,76,Yes,Average,Somewhat confident,Yes,Neutral,Good,Occasionally,Tutors,More practical lessons,No,Fail
19,Female,Epe (Public),Artisan,Less than 1 hour,No,75,65,No,Poor,Confident,No,Neutral,Fair,Often,"More past questions, Better textbooks, Extra lessons",More practical lessons,Yes,Fail
18,Female,Epe (Public),Trader,Less than 1 hour,Yes,55,50,No,Average,Somewhat confident,No,Uncomfortable,Fair,Always,"Extra lessons, Better textbooks, Counseling",Extra classes,Yes,Fail
20,Male,Others,Civil servant,More than 5 hours,No,82,56,Yes,Poor,Confident,No,Uncomfortable,Poor,Never,"Better textbooks, Extra lessons",More teachers,Yes,Fail
19,Female,Epe (Public),Civil servant,3-5 hours,No,63,98,No,Excellent,Somewhat confident,No,Comfortable,Poor,Never,"Extra lessons, Counseling",More practical lessons,Yes,Fail
20,Male,Epe (Public),Civil servant,Less than 1 hour,No,58,57,Yes,Poor,Somewhat confident,No,Comfortable,Fair,Occasionally,"Counseling, Tutors, More past questions",Improved facilities,Yes,Fail
18,Male,Others,Trader,1-3 hours,Yes,49,82,No,Average,Very confident,Yes,Neutral,Good,Always,Extra lessons,Improved facilities,Yes,Fail
18,Male,Epe (Public),Teacher,3-5 hours,No,46,40,No,Average,Somewhat confident,Yes,Comfortable,Good,Never,"More past questions, Tutors, Extra lessons",More teachers,Yes,Fail
16,Male,Others,Teacher,1-3 hours,Yes,86,78,Yes,Average,Very confident,Yes,Neutral,Good,Often,Better textbooks,Improved facilities,No,Pass
16,Female,Ikorodu (Public),Artisan,Less than 1 hour,Yes,58,82,No,Poor,Somewhat confident,Yes,Comfortable,Fair,Occasionally,"More past questions, Better textbooks",More practical lessons,Yes,Fail
19,Male,Ikorodu (Public),Artisan,More than 5 hours,No,44,77,Yes,Poor,Very confident,Yes,Uncomfortable,Excellent,Never,Tutors,Improved facilities,Yes,Fail
17,Female,Others,Civil servant,Less than 1 hour,No,40,99,Yes,Excellent,Confident,Yes,Comfortable,Fair,Often,"Counseling, More past questions, Tutors",Improved facilities,Yes,Fail
16,Female,Ikorodu (Public),Civil servant,More than 5 hours,No,57,70,No,Excellent,Not confident,Yes,Neutral,Fair,Never,Extra lessons,More teachers,Yes,Fail
16,Male,Others,Trader,More than 5 hours,No,63,88,No,Good,Very confident,No,Neutral,Poor,Often,Better textbooks,More practical lessons,No,Fail
16,Female,Ikorodu (Public),Teacher,1-3 hours,No,78,53,No,Excellent,Confident,Yes,Comfortable,Poor,Occasionally,"Extra lessons, More past questions, Better textbooks",More practical lessons,Yes,Pass
16,Male,Victoria Island (Private),Teacher,1-3 hours,Yes,41,90,No,Poor,Not confident,No,Comfortable,Poor,Always,Extra lessons,Improved facilities,No,Fail
16,Female,Victoria Island (Private),Civil servant,3-5 hours,Yes,76,100,Yes,Average,Confident,No,Uncomfortable,Poor,Occasionally,"Counseling, Better textbooks, Extra lessons",Extra classes,No,Fail
20,Female,Victoria Island (Private),Civil servant,More than 5 hours,No,40,59,No,Average,Confident,No,Uncomfortable,Poor,Often,"Tutors, Counseling",Improved facilities,Yes,Fail
20,Male,Ikorodu (Public),Artisan,1-3 hours,Yes,63,64,Yes,Excellent,Somewhat confident,No,Uncomfortable,Fair,Often,Counseling,Extra classes,Yes,Fail
19,Male,Lekki (Private),Teacher,Less than 1 hour,No,100,72,Yes,Good,Not confident,No,Comfortable,Poor,Often,Better textbooks,Improved facilities,No,Fail
18,Female,Victoria Island (Private),Civil servant,More than 5 hours,No,72,87,No,Excellent,Very confident,No,Neutral,Fair,Often,"Tutors, Counseling, Extra lessons",Improved facilities,Yes,Fail
16,Male,Lekki (Private),Civil servant,3-5 hours,No,61,59,No,Poor,Very confident,No,Comfortable,Poor,Always,Extra lessons,More practical lessons,No,Fail
20,Male,Epe (Public),Business owner,Less than 1 hour,Yes,51,79,Yes,Poor,Very confident,Yes,Uncomfortable,Good,Occasionally,Counseling,More practical lessons,No,Pass
17,Female,Lekki (Private),Artisan,More than 5 hours,Yes,80,43,Yes,Excellent,Very confident,Yes,Neutral,Excellent,Never,"Tutors, Extra lessons, More past questions",More practical lessons,No,Fail
19,Female,Lekki (Private),Business owner,3-5 hours,No,73,73,Yes,Good,Very confident,No,Neutral,Excellent,Always,Better textbooks,Improved facilities,No,Fail
19,Male,Others,Business owner,More than 5 hours,Yes,97,58,Yes,Average,Confident,No,Comfortable,Fair,Often,"More past questions, Extra lessons",Improved facilities,No,Fail
16,Female,Ikorodu (Public),Civil servant,Less than 1 hour,No,74,76,Yes,Average,Somewhat confident,No,Uncomfortable,Good,Often,"More past questions, Better textbooks",More practical lessons,No,Fail
18,Male,Lekki (Private),Business owner,More than 5 hours,No,86,98,No,Poor,Confident,No,Neutral,Excellent,Never,"Counseling, Tutors",Improved facilities,No,Fail
19,Female,Ikorodu (Public),Artisan,1-3 hours,No,88,95,Yes,Good,Confident,No,Comfortable,Excellent,Always,Extra lessons,Extra classes,No,Fail
18,Male,Others,Business owner,1-3 hours,Yes,99,89,Yes,Excellent,Confident,No,Uncomfortable,Poor,Occasionally,"Tutors, Counseling, Extra lessons",Improved facilities,No,Fail
16,Male,Victoria Island (Private),Teacher,More than 5 hours,No,46,72,No,Excellent,Confident,No,Comfortable,Good,Occasionally,"More past questions, Counseling, Better textbooks",Improved facilities,No,Fail
20,Male,Ikorodu (Public),Civil servant,More than 5 hours,No,92,74,No,Poor,Confident,No,Uncomfortable,Excellent,Occasionally,"Better textbooks, Extra lessons, Tutors",More teachers,Yes,Fail
16,Male,Victoria Island (Private),Teacher,1-3 hours,Yes,51,96,Yes,Average,Confident,No,Uncomfortable,Poor,Often,"Tutors, Better textbooks, Extra lessons",Extra classes,Yes,Fail
19,Female,Victoria Island (Private),Trader,3-5 hours,Yes,94,68,Yes,Poor,Confident,Yes,Comfortable,Poor,Often,Extra lessons,More teachers,No,Pass
20,Female,Lekki (Private),Business owner,1-3 hours,Yes,75,70,Yes,Average,Somewhat confident,Yes,Uncomfortable,Excellent,Never,"More past questions, Extra lessons",Improved facilities,No,Fail
18,Female,Victoria Island (Private),Teacher,3-5 hours,Yes,98,87,No,Average,Very confident,Yes,Neutral,Poor,Occasionally,"Counseling, Better textbooks, Extra lessons",Extra classes,No,Pass
17,Male,Others,Artisan,More than 5 hours,Yes,47,67,Yes,Poor,Not confident,Yes,Neutral,Poor,Never,Tutors,Extra classes,Yes,Fail
20,Female,Lekki (Private),Trader,Less than 1 hour,Yes,78,86,No,Excellent,Not confident,No,Comfortable,Excellent,Always,"Extra lessons, Better textbooks",Improved facilities,No,Fail
17,Female,Epe (Public),Civil servant,1-3 hours,No,63,86,Yes,Excellent,Very confident,Yes,Comfortable,Excellent,Occasionally,Better textbooks,More teachers,No,Pass
17,Female,Lekki (Private),Trader,1-3 hours,No,90,57,No,Excellent,Very confident,No,Neutral,Good,Occasionally,More past questions,Extra classes,Yes,Fail
19,Male,Epe (Public),Artisan,Less than 1 hour,Yes,73,87,No,Poor,Not confident,No,Uncomfortable,Good,Always,"More past questions, Extra lessons, Better textbooks",Extra classes,No,Fail
19,Female,Lekki (Private),Trader,More than 5 hours,Yes,80,47,Yes,Poor,Confident,No,Comfortable,Poor,Often,Tutors,Improved facilities,Yes,Fail
18,Female,Lekki (Private),Civil servant,Less than 1 hour,No,98,62,No,Poor,Very confident,Yes,Uncomfortable,Fair,Never,"Better textbooks, More past questions, Tutors",Improved facilities,Yes,Pass
18,Female,Others,Teacher,1-3 hours,No,93,82,Yes,Poor,Confident,Yes,Comfortable,Poor,Always,"Extra lessons, Tutors, More past questions",More teachers,Yes,Pass
20,Female,Lekki (Private),Civil servant,3-5 hours,Yes,53,60,No,Poor,Somewhat confident,Yes,Uncomfortable,Excellent,Often,"Better textbooks, More past questions",Improved facilities,Yes,Fail
16,Female,Lekki (Private),Teacher,1-3 hours,Yes,76,71,Yes,Good,Not confident,Yes,Neutral,Fair,Occasionally,"Better textbooks, Extra lessons, Tutors",More practical lessons,No,Fail
17,Female,Epe (Public),Civil servant,3-5 hours,Yes,59,86,No,Poor,Somewhat confident,No,Comfortable,Good,Occasionally,Tutors,Extra classes,No,Fail
17,Female,Ikorodu (Public),Artisan,3-5 hours,Yes,57,59,Yes,Good,Somewhat confident,No,Uncomfortable,Good,Occasionally,"Tutors, Better textbooks",More teachers,Yes,Fail
18,Female,Ikorodu (Public),Teacher,1-3 hours,Yes,52,91,No,Average,Confident,Yes,Uncomfortable,Excellent,Never,Tutors,Extra classes,Yes,Pass
16,Male,Ikorodu (Public),Artisan,3-5 hours,No,72,51,Yes,Good,Confident,Yes,Comfortable,Excellent,Always,"Counseling, More past questions",Improved facilities,No,Pass
17,Male,Epe (Public),Civil servant,Less than 1 hour,Yes,68,47,Yes,Average,Confident,Yes,Uncomfortable,Poor,Occasionally,"Tutors, Extra lessons, Counseling",More practical lessons,Yes,Fail
16,Male,Victoria Island (Private),Business owner,More than 5 hours,Yes,97,42,No,Excellent,Confident,Yes,Neutral,Good,Never,"Better textbooks, Counseling",Improved facilities,Yes,Fail
17,Female,Victoria Island (Private),Artisan,1-3 hours,No,53,54,Yes,Excellent,Very confident,Yes,Uncomfortable,Excellent,Never,Better textbooks,More practical lessons,Yes,Pass
17,Male,Ikorodu (Public),Business owner,More than 5 hours,No,74,84,Yes,Average,Very confident,No,Neutral,Poor,Often,"Better textbooks, More past questions",Extra classes,Yes,Fail
18,Male,Lekki (Private),Civil servant,Less than 1 hour,No,44,79,No,Good,Confident,No,Uncomfortable,Fair,Never,"Counseling, Better textbooks, Extra lessons",Improved facilities,No,Fail
17,Male,Lekki (Private),Teacher,Less than 1 hour,Yes,72,67,Yes,Good,Somewhat confident,Yes,Neutral,Poor,Always,Extra lessons,More practical lessons,Yes,Fail
18,Female,Victoria Island (Private),Civil servant,More than 5 hours,No,76,43,Yes,Average,Somewhat confident,Yes,Comfortable,Fair,Never,"Counseling, Tutors, More past questions",More practical lessons,Yes,Fail
17,Female,Lekki (Private),Teacher,3-5 hours,No,72,75,No,Poor,Not confident,Yes,Neutral,Excellent,Always,More past questions,Improved facilities,No,Fail
16,Male,Lekki (Private),Civil servant,1-3 hours,No,52,74,No,Good,Somewhat confident,No,Uncomfortable,Fair,Always,"Better textbooks, Counseling",More teachers,No,Fail
18,Female,Victoria Island (Private),Trader,Less than 1 hour,No,48,53,No,Good,Not confident,Yes,Comfortable,Fair,Never,Counseling,More teachers,No,Fail
18,Male,Victoria Island (Private),Civil servant,More than 5 hours,Yes,63,75,Yes,Good,Confident,Yes,Uncomfortable,Fair,Never,"Extra lessons, More past questions, Tutors",Extra classes,No,Pass
16,Female,Victoria Island (Private),Teacher,More than 5 hours,No,88,92,Yes,Average,Somewhat confident,Yes,Comfortable,Fair,Never,Counseling,Improved facilities,Yes,Fail
19,Male,Victoria Island (Private),Artisan,1-3 hours,No,96,68,No,Excellent,Very confident,No,Comfortable,Excellent,Occasionally,Extra lessons,More teachers,No,Fail
17,Male,Lekki (Private),Artisan,3-5 hours,No,91,48,No,Poor,Very confident,No,Neutral,Fair,Occasionally,"Counseling, Tutors, More past questions",Extra classes,No,Fail
20,Female,Epe (Public),Civil servant,More than 5 hours,Yes,99,57,Yes,Poor,Confident,Yes,Neutral,Poor,Never,"Better textbooks, Extra lessons",More practical lessons,No,Pass
18,Male,Victoria Island (Private),Teacher,1-3 hours,Yes,94,56,No,Poor,Somewhat confident,No,Comfortable,Good,Often,"Extra lessons, Counseling, Better textbooks",Extra classes,Yes,Fail
19,Female,Ikorodu (Public),Teacher,More than 5 hours,Yes,45,80,No,Poor,Not confident,No,Comfortable,Good,Always,"More past questions, Tutors",Improved facilities,Yes,Fail
17,Female,Victoria Island (Private),Civil servant,More than 5 hours,No,96,51,Yes,Average,Confident,No,Neutral,Poor,Never,"Extra lessons, Tutors, More past questions",More practical lessons,Yes,Fail
19,Female,Others,Artisan,More than 5 hours,Yes,45,99,No,Excellent,Very confident,No,Uncomfortable,Fair,Often,"Better textbooks, Tutors, Extra lessons",More teachers,No,Fail
19,Female,Lekki (Private),Civil servant,More than 5 hours,Yes,45,84,No,Average,Somewhat confident,No,Comfortable,Poor,Occasionally,"Extra lessons, Counseling",Extra classes,Yes,Fail
18,Male,Lekki (Private),Teacher,Less than 1 hour,No,63,90,Yes,Average,Not confident,Yes,Comfortable,Fair,Occasionally,"Extra lessons, Counseling",Improved facilities,Yes,Fail
17,Female,Others,Civil servant,More than 5 hours,Yes,60,86,Yes,Good,Somewhat confident,Yes,Comfortable,Good,Always,"Better textbooks, Counseling, More past questions",More teachers,Yes,Fail
19,Female,Victoria Island (Private),Artisan,1-3 hours,Yes,58,88,No,Poor,Not confident,Yes,Uncomfortable,Excellent,Occasionally,Better textbooks,Improved facilities,Yes,Fail
18,Male,Victoria Island (Private),Teacher,Less than 1 hour,No,72,73,Yes,Good,Not confident,No,Uncomfortable,Good,Occasionally,"Counseling, Extra lessons, More past questions",Extra classes,No,Fail
19,Male,Others,Artisan,1-3 hours,No,47,90,Yes,Good,Somewhat confident,No,Comfortable,Fair,Never,"Better textbooks, More past questions",More teachers,No,Fail
17,Female,Victoria Island (Private),Teacher,1-3 hours,No,92,68,Yes,Average,Not confident,No,Uncomfortable,Good,Occasionally,"Extra lessons, Better textbooks, Counseling",Improved facilities,Yes,Fail
20,Male,Epe (Public),Artisan,More than 5 hours,No,79,57,Yes,Good,Not confident,No,Uncomfortable,Fair,Occasionally,"More past questions, Better textbooks",More practical lessons,Yes,Fail
16,Female,Victoria Island (Private),Artisan,More than 5 hours,Yes,55,83,Yes,Average,Not confident,No,Neutral,Fair,Often,"Better textbooks, Extra lessons",More practical lessons,Yes,Fail
18,Male,Ikorodu (Public),Artisan,More than 5 hours,No,66,92,Yes,Excellent,Somewhat confident,No,Comfortable,Good,Often,"Tutors, Counseling",Extra classes,Yes,Fail
18,Male,Victoria Island (Private),Teacher,1-3 hours,No,74,96,Yes,Excellent,Confident,Yes,Neutral,Poor,Occasionally,"More past questions, Better textbooks",Improved facilities,No,Pass
19,Male,Ikorodu (Public),Civil servant,More than 5 hours,Yes,46,70,No,Good,Not confident,Yes,Uncomfortable,Fair,Occasionally,"Counseling, Extra lessons",Extra classes,Yes,Fail
16,Female,Lekki (Private),Business owner,3-5 hours,Yes,84,81,No,Good,Confident,Yes,Neutral,Excellent,Always,Better textbooks,More practical lessons,No,Pass
20,Male,Others,Trader,Less than 1 hour,Yes,57,60,No,Excellent,Not confident,Yes,Neutral,Excellent,Occasionally,"Tutors, More past questions, Extra lessons",Improved facilities,Yes,Fail
17,Female,Others,Civil servant,1-3 hours,Yes,44,45,Yes,Good,Somewhat confident,Yes,Neutral,Excellent,Never,Counseling,Improved facilities,Yes,Fail
19,Female,Lekki (Private),Teacher,Less than 1 hour,No,99,53,No,Good,Not confident,Yes,Uncomfortable,Excellent,Occasionally,More past questions,More practical lessons,Yes,Fail
16,Male,Epe (Public),Business owner,3-5 hours,No,49,87,No,Poor,Not confident,Yes,Uncomfortable,Excellent,Never,"Tutors, Extra lessons, Better textbooks",Extra classes,Yes,Fail
20,Male,Ikorodu (Public),Business owner,3-5 hours,Yes,74,65,Yes,Poor,Confident,No,Uncomfortable,Poor,Occasionally,"Tutors, Extra lessons",Improved facilities,No,Fail
16,Female,Victoria Island (Private),Artisan,Less than 1 hour,No,74,77,No,Excellent,Somewhat confident,Yes,Comfortable,Good,Occasionally,More past questions,Extra classes,No,Fail
16,Female,Victoria Island (Private),Trader,3-5 hours,No,95,63,Yes,Good,Confident,No,Neutral,Excellent,Often,"Extra lessons, Tutors",Extra classes,No,Fail
19,Male,Others,Artisan,1-3 hours,No,74,58,Yes,Poor,Very confident,No,Neutral,Excellent,Occasionally,Counseling,More practical lessons,No,Fail
18,Male,Victoria Island (Private),Civil servant,3-5 hours,Yes,89,63,No,Excellent,Very confident,No,Neutral,Fair,Always,"Counseling, Extra lessons",More practical lessons,No,Fail
19,Male,Others,Business owner,Less than 1 hour,Yes,58,69,Yes,Good,Not confident,Yes,Neutral,Poor,Never,Counseling,More practical lessons,Yes,Fail
19,Male,Lekki (Private),Civil servant,Less than 1 hour,Yes,73,100,No,Excellent,Very confident,No,Uncomfortable,Poor,Always,More past questions,Extra classes,Yes,Fail
17,Male,Ikorodu (Public),Artisan,More than 5 hours,No,99,70,No,Poor,Somewhat confident,Yes,Neutral,Good,Never,Tutors,Extra classes,No,Fail
17,Male,Others,Artisan,1-3 hours,No,47,80,Yes,Poor,Confident,No,Neutral,Fair,Occasionally,"Extra lessons, Better textbooks, Counseling",Extra classes,Yes,Fail
16,Female,Lekki (Private),Teacher,3-5 hours,No,55,90,Yes,Good,Somewhat confident,No,Comfortable,Fair,Always,More past questions,More teachers,Yes,Fail
20,Female,Lekki (Private),Trader,Less than 1 hour,Yes,61,73,Yes,Good,Very confident,Yes,Neutral,Fair,Always,"Tutors, Extra lessons, Counseling",More teachers,Yes,Pass
17,Male,Others,Artisan,3-5 hours,Yes,61,53,No,Average,Confident,No,Neutral,Poor,Often,More past questions,More teachers,Yes,Fail
16,Female,Ikorodu (Public),Civil servant,More than 5 hours,No,86,94,Yes,Average,Not confident,No,Uncomfortable,Good,Always,"Extra lessons, More past questions",Improved facilities,No,Fail
16,Female,Others,Artisan,3-5 hours,Yes,98,77,No,Average,Very confident,Yes,Neutral,Good,Often,"Extra lessons, Better textbooks, Tutors",Improved facilities,No,Pass
16,Male,Victoria Island (Private),Teacher,3-5 hours,Yes,51,50,No,Good,Very confident,Yes,Neutral,Good,Often,"Tutors, More past questions",More teachers,No,Pass
17,Female,Lekki (Private),Artisan,Less than 1 hour,Yes,96,97,Yes,Average,Very confident,No,Neutral,Excellent,Often,"Extra lessons, Better textbooks, More past questions",More teachers,Yes,Fail
20,Male,Others,Artisan,3-5 hours,Yes,46,87,No,Average,Not confident,No,Uncomfortable,Poor,Occasionally,More past questions,More practical lessons,Yes,Fail
19,Female,Ikorodu (Public),Trader,More than 5 hours,Yes,97,50,Yes,Average,Very confident,Yes,Neutral,Good,Never,"Tutors, Counseling",Extra classes,No,Pass
17,Male,Lekki (Private),Business owner,More than 5 hours,Yes,47,49,No,Poor,Very confident,Yes,Uncomfortable,Fair,Occasionally,"Better textbooks, More past questions, Tutors",More teachers,No,Fail
